instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,EMA_short,EMA_long,EMA_cross,Cross_Type,Price_From_Cross,Days_From_Cross,RSI,Volume_Percentile,Volume_LTH,Volume_Top_10_Percent,Volume_Last_5_Candles,Volume_EMA_20,Volume_EMA_50,Volume_EMA_200,Distance_From_EMA_Short,Distance_From_EMA_Short_Percentile
CHEMCON SPECIAL CHEM LTD,NSE_EQ|INE03YM01018,Weekly,2025-09-22,232.49,266.39,230.7,246.05,3364454.0,0.0,224.45533590531372,220.20610529769468,11 x 51,Golden,6.82,7.0,60.22592480926539,95.79,False,True,True,821870.3,538535.9,1698953.19,21.594664094686294,9.62
KIOCL LIMITED,NSE_EQ|INE880L01014,Weekly,2025-09-22,429.75,455.35,420.1,440.4,2721014.0,0.0,398.2111573753882,342.90333724836785,11 x 51,Golden,2.0,35.0,63.90948469343273,93.71,False,True,True,10012962.18,6321270.25,2843832.28,42.188842624611766,10.59
MINDA CORPORATION LTD,NSE_EQ|INE842C01021,Weekly,2025-09-22,550.0,601.65,530.05,579.1,26207621.0,0.0,522.968494113974,507.84618664075913,11 x 51,Golden,13.19,14.0,61.61145493708286,99.86,False,True,True,3962726.96,3034012.65,3530034.3,56.13150588602605,10.73
NLC INDIA LIMITED,NSE_EQ|INE589A01014,Weekly,2025-09-22,260.05,284.75,258.05,280.35,21977197.0,0.0,247.3121502096166,236.72053469113212,11 x 51,Golden,6.7,14.0,67.1048143166297,92.92,False,True,True,10468772.09,12235305.31,16618303.84,33.03784979038343,13.36
JTEKT INDIA LIMITED,NSE_EQ|INE643A01035,Weekly,2025-09-22,174.73,187.95,173.0,174.76,3493150.0,0.0,152.03752465837312,147.92234488362107,11 x 51,Golden,0.29,7.0,67.40440809606866,92.33,False,True,True,5508325.61,3293991.99,2169614.21,22.722475341626875,14.95
AVANTEL LIMITED,NSE_EQ|INE005B01027,Weekly,2025-09-22,184.85,196.5,184.0,186.62,22961221.0,0.0,162.18784553311173,152.23757857026493,11 x 51,Golden,7.28,14.0,66.08981970730375,93.44,False,True,True,13853464.62,9976651.21,4725132.05,24.432154466888278,15.06
MOSCHIP TECHNOLOGIES LTD,NSE_EQ|INE935B01025,Weekly,2025-09-22,268.51,274.7,246.0,247.1,14837350.0,0.0,214.21601534799228,189.11456917253997,11 x 51,Golden,-0.15,21.0,66.27758926382819,91.18,False,True,True,24765830.43,12998732.68,4342733.33,32.88398465200771,15.35
HINDUSTAN COPPER LTD,NSE_EQ|INE531E01026,Weekly,2025-09-22,283.24,313.9,282.0,308.71,77328682.0,0.0,264.25894149256027,254.40789218586627,11 x 51,Golden,9.14,7.0,67.2897225841548,97.93,False,True,True,33266730.03,31559616.82,31790738.63,44.45105850743971,16.82
ANANT RAJ LIMITED,NSE_EQ|INE242C01024,Weekly,2025-09-22,644.4,708.8,643.5,677.1,55575525.0,0.0,576.3529357205317,555.282930610881,11 x 51,Golden,5.73,7.0,64.28006410074153,99.8,False,True,True,19625760.89,14442556.07,9694562.83,100.7470642794683,17.48
SHALBY LIMITED,NSE_EQ|INE597J01018,Weekly,2025-09-22,245.0,274.7,245.0,258.57,13322404.0,0.0,218.64959781412173,214.84867956377468,11 x 51,Golden,0.0,0.0,72.57288901548822,99.51,False,True,True,3568499.56,2115639.12,1720302.7,39.92040218587826,18.26
ROSSELL TECHSYS LIMITED,NSE_EQ|INE0OJW01016,Weekly,2025-09-22,765.0,832.0,751.0,781.2,1158803.0,0.0,659.2966967660948,504.91943249484433,11 x 51,Golden,34.53,63.0,84.09634976302132,90.48,False,True,True,801008.46,548551.8,504346.32,121.90330323390526,18.49
E2E NETWORKS LIMITED,NSE_EQ|INE255Z01019,Weekly,2025-09-22,3050.0,3468.9,3036.0,3218.6,469763.0,0.0,2705.4404374927,2529.0622381832427,11 x 51,Golden,4.36,14.0,63.80082291884196,94.81,False,True,True,448084.66,376310.91,288710.51,513.1595625073,18.97
MUNJAL AUTO IND. LTD.,NSE_EQ|INE672B01032,Weekly,2025-09-22,90.0,108.78,90.0,103.98,16136136.0,0.0,87.21693889728763,84.94157194223257,11 x 51,Golden,0.0,0.0,70.28361207301528,99.57,False,True,True,3104975.9,2346258.41,2041181.4,16.76306110271237,19.22
IFB INDUSTRIES LTD,NSE_EQ|INE559A01017,Weekly,2025-09-22,1591.0,1905.0,1591.0,1826.0,866512.0,0.0,1531.4480614432912,1478.7285674579903,11 x 51,Golden,13.67,7.0,68.3821294220541,94.08,False,True,True,435897.63,410692.29,380118.58,294.5519385567088,19.23
SWELECT ENERGY SYS LTD,NSE_EQ|INE409B01013,Weekly,2025-09-22,913.9,962.65,875.3,934.2,445818.0,0.0,781.5351461292596,761.5026114744484,11 x 51,Golden,0.0,0.0,67.88992080161927,95.45,False,True,True,453552.12,328303.96,288165.91,152.66485387074044,19.53
JAYASWAL NECO INDUSTR LTD,NSE_EQ|INE854B01010,Weekly,2025-09-22,69.5,72.8,69.11,71.94,35557273.0,0.0,59.13319975341666,46.24066267764026,11 x 51,Golden,46.97,56.0,78.156847483425,99.16,False,True,True,154697988.88,93817595.47,30268947.48,12.806800246583336,21.66
ZUARI INDUSTRIES LIMITED,NSE_EQ|INE217A01012,Weekly,2025-09-22,290.55,376.05,270.15,376.05,9375774.0,0.0,308.2069218761761,294.1957401735126,11 x 51,Golden,10.17,35.0,65.87123123865494,100.0,True,True,True,1787227.59,1120058.28,759789.04,67.84307812382389,22.01
BHARAT GEARS LTD.,NSE_EQ|INE561C01019,Weekly,2025-09-22,106.8,124.25,104.55,120.28,5701124.0,0.0,98.41166534165102,93.0645158152673,11 x 51,Golden,21.45,14.0,73.41255021149053,99.83,False,True,True,995654.71,530707.04,404355.25,21.868334658348985,22.22
NETWEB TECH INDIA LTD,NSE_EQ|INE0NT901020,Weekly,2025-09-22,3340.0,3610.0,3339.8,3416.4,13482321.0,0.0,2647.3367956869306,2141.8066241167394,11 x 51,Golden,60.77,42.0,76.07920629600821,97.37,False,True,True,8189683.91,5123606.44,7918501.4,769.0632043130695,29.05
